"seqnames"	"start"	"end"	"width"	"strand"	"width"	"strand"	"Conc"	"Conc_mDMSOw1"	"Conc_mTBTw1"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"11"	"chr5"	144767280	144767679	400	"*"	401	"*"	6.02483797693152	6.69259253620682	4.74345688551107	1.43004466410618	2.63311484398072e-06	0.0039474697875733	"Promoter (<=1kb)"	5	144768092	144787907	19816	1	"100683"	"ENSMUST00000136379.1"	-413	"ENSMUSG00000045482"	"Trrap"	"transformation/transcription domain-associated protein"
"12"	"chr9"	67315268	67315667	400	"*"	401	"*"	4.56230306646523	5.33913258255573	2.75960772839968	1.60669136577574	2.70724818463225e-06	0.0039474697875733	"Intron (ENSMUST00000040025.13/70549, intron 31 of 57)"	9	67220911	67327664	106754	2	"70549"	"ENSMUST00000215267.1"	11997	"ENSMUSG00000052698"	"Tln2"	"talin 2"
"13"	"chr14"	118423102	118423501	400	"*"	401	"*"	4.84192619254603	5.64411403828366	2.87758665213529	1.63144824432965	2.79870785550027e-06	0.0039474697875733	"Distal Intergenic"	14	118365878	118398170	32293	1	"73306"	"ENSMUST00000186060.1"	57224	"ENSMUSG00000096997"	"1700044C05Rik"	"RIKEN cDNA 1700044C05 gene"
"14"	"chr2"	3869499	3869898	400	"*"	401	"*"	5.77936878445635	6.37462198909281	4.74804878361753	1.29238117428039	3.02700644307074e-06	0.00396451358143893	"Intron (ENSMUST00000141222.1/ENSMUST00000141222.1, intron 1 of 1)"	2	3773946	3779625	5680	1	"66540"	"ENSMUST00000176254.1"	95553	"ENSMUSG00000026655"	"Fam107b"	"family with sequence similarity 107, member B"
"15"	"chr2"	129109289	129109688	400	"*"	401	"*"	5.97947752222314	6.62917373039437	4.76578010647607	1.38841639313157	3.45005471419238e-06	0.00421734688262876	"Exon (ENSMUST00000103205.10/20017, exon 6 of 15)"	2	129115672	129118489	2818	1	"20017"	"ENSMUST00000133345.1"	-5984	"ENSMUSG00000027395"	"Polr1b"	"polymerase (RNA) I polypeptide B"
"16"	"chr1"	93449402	93449801	400	"*"	401	"*"	5.52041906140076	6.2200833233021	4.10873706432762	1.46615025019749	4.2615274669892e-06	0.00480163456844126	"Intron (ENSMUST00000170883.7/110611, intron 1 of 27)"	1	93407762	93445686	37925	2	"110611"	"ENSMUST00000042498.13"	-3716	"ENSMUSG00000034088"	"Hdlbp"	"high density lipoprotein (HDL) binding protein"
"17"	"chr19"	32240749	32241148	400	"*"	401	"*"	4.1743802880313	5.01702892766381	1.89971480150067	1.62304469510623	4.80938415959109e-06	0.00480163456844126	"Promoter (1-2kb)"	19	32223318	32238826	15509	2	"208449"	"ENSMUST00000126332.1"	-1923	"ENSMUSG00000040451"	"Sgms1"	"sphingomyelin synthase 1"
"18"	"chr14"	74392084	74392483	400	"*"	401	"*"	6.24788970352863	6.84481135622704	5.21140567932506	1.27537185897077	4.85220752262528e-06	0.00480163456844126	"Intron (ENSMUST00000226557.1/ENSMUST00000226557.1, intron 2 of 4)"	14	74355527	74369741	14215	1	"74425"	"ENSMUST00000226927.1"	36557	"ENSMUSG00000115845"	"4933402J15Rik"	"RIKEN cDNA 4933402J15 gene"
"19"	"chr5"	136982603	136983002	400	"*"	401	"*"	6.20340929195302	6.86496434381981	4.94572020538787	1.3923987196057	4.97551575045724e-06	0.00480163456844126	"Exon (ENSMUST00000156963.7/70103, exon 3 of 5)"	5	136982194	136986829	4636	2	"70103"	"ENSMUST00000034953.13"	3827	"ENSMUSG00000059518"	"Znhit1"	"zinc finger, HIT domain containing 1"
"20"	"chr5"	130309188	130309587	400	"*"	401	"*"	5.11325590440022	5.81910807152168	3.67452694305367	1.47664246087728	5.27859638902508e-06	0.00480286448675814	"Intron (ENSMUST00000040213.12/100929, intron 13 of 15)"	5	130258930	130269391	10462	1	"100929"	"ENSMUST00000147619.1"	50258	"ENSMUSG00000056310"	"Tyw1"	"tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)"
"21"	"chr3"	133075832	133076231	400	"*"	401	"*"	5.07775884518481	5.80167272926823	3.55634040832676	1.49921797373891	5.50066286114315e-06	0.00480286448675814	"Intron (ENSMUST00000029651.10/67553, intron 3 of 11)"	3	132998831	133091747	92917	2	"67553"	"ENSMUST00000161577.7"	15516	"ENSMUSG00000028018"	"Gstcd"	"glutathione S-transferase, C-terminal domain containing"
"22"	"chr7"	3413803	3414202	400	"*"	401	"*"	6.33873393291002	6.91029455125816	5.37820840999483	1.22418474432379	6.3309376812855e-06	0.00527654878745686	"Promoter (<=1kb)"	7	3415066	3415156	91	1	"104795667"	"ENSMUST00000178285.1"	-864	"ENSMUSG00000094210"	"Mir935"	"microRNA 935"
"23"	"chr4"	124480131	124480530	400	"*"	401	"*"	4.68090236852652	5.44942857559829	2.92686699009203	1.54203248100685	7.65108829068983e-06	0.00609958064774299	"Intron (ENSMUST00000143859.7/78460, intron 2 of 3)"	4	124449902	124485959	36058	2	"78460"	"ENSMUST00000143859.7"	5429	NA	"1700057H15Rik"	"RIKEN cDNA 1700057H15 gene"
"24"	"chr1"	58236044	58236443	400	"*"	401	"*"	4.34776134359772	5.11711715824407	2.58894975994959	1.52375048993194	8.51267358456127e-06	0.00624424059485852	"Intron (ENSMUST00000040442.5/71872, intron 12 of 34)"	1	58240606	58245161	4556	1	"71872"	"ENSMUST00000161926.1"	-4163	"ENSMUSG00000038242"	"Aox4"	"aldehyde oxidase 4"
"25"	"chr14"	79293552	79293951	400	"*"	401	"*"	5.02807489913295	5.77510800593226	3.39169326598155	1.50870405092776	8.97389325847817e-06	0.00624424059485852	"Intron (ENSMUST00000022595.7/66214, intron 2 of 4)"	14	79288756	79301645	12890	2	"66214"	"ENSMUST00000022595.7"	7694	"ENSMUSG00000022018"	"Rgcc"	"regulator of cell cycle"
"26"	"chr1"	150465457	150465856	400	"*"	401	"*"	4.47189732127991	5.19681283510045	2.94572020538787	1.46056089056038	9.39036499455264e-06	0.00624424059485852	"Promoter (<=1kb)"	1	150449412	150465598	16187	2	"96875"	"ENSMUST00000006171.15"	0	"ENSMUSG00000006014"	"Prg4"	"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)"
"27"	"chr7"	82783740	82784139	400	"*"	401	"*"	5.43578636952436	6.13607581752212	4.02139986005934	1.43953826660941	9.59186377055455e-06	0.00624424059485852	"Distal Intergenic"	7	82743368	82755644	12277	2	"77800"	"ENSMUST00000144828.1"	-28096	"ENSMUSG00000086690"	"4933406J10Rik"	"RIKEN cDNA 4933406J10 gene"
"28"	"chr11"	109608313	109608712	400	"*"	401	"*"	5.50298282069356	6.23806733060136	3.92738912592468	1.4955989294884	1.00627107822372e-05	0.00624424059485852	"Promoter (2-3kb)"	11	109573331	109611432	38102	2	"52639"	"ENSMUST00000103060.9"	2720	"ENSMUSG00000041895"	"Wipi1"	"WD repeat domain, phosphoinositide interacting 1"
"29"	"chr7"	6914366	6914765	400	"*"	401	"*"	5.40614822192048	5.96954230519113	4.46898373929827	1.18589626784703	1.05706534291545e-05	0.00624424059485852	"Intron (ENSMUST00000200535.5/57775, intron 4 of 8)"	7	6947602	6964825	17224	1	"57775"	"ENSMUST00000198068.2"	-32837	"ENSMUSG00000051527"	"Usp29"	"ubiquitin specific peptidase 29"
"30"	"chr7"	13031076	13031728	653	"*"	654	"*"	3.36886816146303	0	4.36886816146303	-1.30735250906445	1.07493183649482e-05	0.00624424059485852	"Promoter (<=1kb)"	7	13030372	13031032	661	1	"21849"	"ENSMUST00000123778.1"	704	"ENSMUSG00000005566"	"Trim28"	"tripartite motif-containing 28"
"31"	"chr19"	61069505	61069904	400	"*"	401	"*"	5.36464566660657	6.02886578866233	4.09683186214238	1.3616865873046	1.08691675936293e-05	0.00624424059485852	"Intron (ENSMUST00000003313.9/14773, intron 6 of 15)"	19	61127003	61127564	562	2	"414758"	"ENSMUST00000148569.3"	57660	"ENSMUSG00000074733"	"Zfp950"	"zinc finger protein 950"
"32"	"chr19"	9945361	9945760	400	"*"	401	"*"	4.31382371332436	5.07807448744959	2.58411245593268	1.51280755267549	1.08974530451283e-05	0.00624424059485852	"Distal Intergenic"	19	9980598	9985092	4495	1	"14319"	"ENSMUST00000235196.1"	-34838	"ENSMUSG00000024661"	"Fth1"	"ferritin heavy polypeptide 1"
"33"	"chrX"	71326956	71327355	400	"*"	401	"*"	6.6764754151213	7.28463453741031	5.60456008435249	1.28117006653768	1.20231230987593e-05	0.00639363300504899	"Distal Intergenic"	20	71301369	71315691	14323	1	"17772"	"ENSMUST00000129722.1"	25587	"ENSMUSG00000031337"	"Mtm1"	"X-linked myotubular myopathy gene 1"
"34"	"chr6"	84723996	84724395	400	"*"	401	"*"	6.15248185972865	6.79818240072464	4.95323049848803	1.3390041584456	1.20731339132533e-05	0.00639363300504899	"Intron (ENSMUST00000160197.5/75914, intron 20 of 21)"	6	84571944	84593908	21965	2	"232174"	"ENSMUST00000168003.8"	-130088	"ENSMUSG00000063415"	"Cyp26b1"	"cytochrome P450, family 26, subfamily b, polypeptide 1"
"35"	"chr17"	34589703	34590102	400	"*"	401	"*"	6.81641143894954	7.39043282972893	5.84874555681787	1.2094437118736	1.25320494936269e-05	0.00639363300504899	"Promoter (<=1kb)"	17	34589806	34591754	1949	1	"106512"	"ENSMUST00000038244.14"	0	"ENSMUSG00000034786"	"Gpsm3"	"G-protein signalling modulator 3 (AGS3-like, C. elegans)"
"36"	"chr15"	50420908	50421307	400	"*"	401	"*"	6.46475325536021	7.07387767114279	5.38974033673195	1.27967278245528	1.25529443816407e-05	0.00639363300504899	"Distal Intergenic"	15	50819499	50827521	8023	2	"83925"	"ENSMUST00000183421.1"	406214	"ENSMUSG00000038679"	"Trps1"	"transcriptional repressor GATA binding 1"
"37"	"chr2"	87514899	87515298	400	"*"	401	"*"	7.01213808668215	7.58071907949085	6.06019527900748	1.20131180883784	1.55792068828763e-05	0.00724516729221888	"Distal Intergenic"	2	87508458	87510865	2408	1	"347711"	"ENSMUST00000026956.3"	6441	"ENSMUSG00000025838"	"Pramel6"	"PRAME like 6"
"38"	"chr3"	41354116	41354515	400	"*"	401	"*"	4.30450590325231	5.03487223546148	2.75209436564831	1.43657674389553	1.56406426065853e-05	0.00724516729221888	"Exon (ENSMUST00000196973.1/ENSMUST00000196973.1, exon 1 of 3)"	3	41487679	41493190	5512	2	"78706"	"ENSMUST00000199155.1"	138675	"ENSMUSG00000097639"	"Platr4"	"pluripotency associated transcript 4"
"39"	"chr7"	55854577	55854976	400	"*"	401	"*"	7.18724705514702	7.77418264690549	6.18131153928348	1.23556635695961	1.6457308326491e-05	0.00724516729221888	"Intron (ENSMUST00000168271.8/20430, intron 1 of 11)"	7	55842255	55930471	88217	1	"20430"	"ENSMUST00000163845.3"	12322	"ENSMUSG00000030447"	"Cyfip1"	"cytoplasmic FMR1 interacting protein 1"
"40"	"chr17"	27040886	27041285	400	"*"	401	"*"	5.61564170457604	6.29967392592057	4.26962300667743	1.38700423642295	1.68416538220317e-05	0.00724516729221888	"Distal Intergenic"	17	27032859	27037624	4766	1	"70772"	"ENSMUST00000235543.1"	8027	"ENSMUSG00000048731"	"Ggnbp1"	"gametogenetin binding protein 1"
"41"	"chr6"	86528194	86528593	400	"*"	401	"*"	4.37552080328664	5.12218381058229	2.74106870074038	1.4694444927915	1.69559421026038e-05	0.00724516729221888	"Promoter (<=1kb)"	6	86527474	86563505	36032	1	"72012"	"ENSMUST00000205028.1"	720	"ENSMUSG00000097048"	"1600020E01Rik"	"RIKEN cDNA 1600020E01 gene"
"42"	"chr11"	99370785	99371184	400	"*"	401	"*"	5.86829696393288	6.53608803724485	4.58677486739875	1.36425487631	1.73053359840061e-05	0.00724516729221888	"Exon (ENSMUST00000006963.2/70843, exon 5 of 8)"	11	99364872	99374903	10032	2	"70843"	"ENSMUST00000006963.2"	3719	"ENSMUSG00000055937"	"Krt28"	"keratin 28"
"43"	"chr11"	25719937	25720336	400	"*"	401	"*"	6.39830931017587	6.95990805658053	5.46621270233828	1.17512497723373	1.73206089152342e-05	0.00724516729221888	"Intron (ENSMUST00000125773.7/70626, intron 2 of 5)"	11	25647915	25769141	121227	2	"70626"	"ENSMUST00000179180.1"	48805	NA	"5730522E02Rik"	"RIKEN cDNA 5730522E02 gene"
"44"	"chr14"	105989097	105989496	400	"*"	401	"*"	6.11434952417636	6.73218605350281	5.01097879944647	1.28358714685528	1.73858726471221e-05	0.00724516729221888	"Distal Intergenic"	14	105891947	105896819	4873	2	"24064"	"ENSMUST00000022709.5"	-92278	"ENSMUSG00000022114"	"Spry2"	"sprouty RTK signaling antagonist 2"
"45"	"chr19"	31319220	31319619	400	"*"	401	"*"	6.6247170904378	7.20299114211813	5.6445983770406	1.21810431175537	1.79532940969039e-05	0.00731536890135179	"Intron (ENSMUST00000065067.13/19091, intron 2 of 17)"	19	31082837	31087069	4233	1	"83410"	"ENSMUST00000066039.7"	236383	"ENSMUSG00000053536"	"Cstf2t"	"cleavage stimulation factor, 3' pre-RNA subunit 2, tau"
"46"	"chr5"	124175395	124175794	400	"*"	401	"*"	4.46203925116167	5.2213930026927	2.75960772839968	1.4774927837467	1.92948134889436e-05	0.00755451276627674	"Intron (ENSMUST00000086123.10/19679, intron 1 of 23)"	5	124143606	124185118	41513	2	"19679"	"ENSMUST00000161644.2"	9324	"ENSMUSG00000029406"	"Pitpnm2"	"phosphatidylinositol transfer protein, membrane-associated 2"
"47"	"chr8"	106375674	106376073	400	"*"	401	"*"	7.12390514673714	7.69597917090675	6.1618938059787	1.20401177624908	1.9579963161058e-05	0.00755451276627674	"Distal Intergenic"	8	106252548	106337988	85441	2	"58994"	"ENSMUST00000067512.7"	-37686	"ENSMUSG00000031906"	"Smpd3"	"sphingomyelin phosphodiesterase 3, neutral"
"48"	"chr1"	75370658	75371057	400	"*"	401	"*"	4.27115774328567	5.06639306438418	2.35325855507911	1.49626268210102	2.03728301101208e-05	0.00755451276627674	"Promoter (<=1kb)"	1	75368272	75370451	2180	2	"100503248"	"ENSMUST00000130095.1"	-207	"ENSMUSG00000085653"	"Gm15179"	"predicted gene 15179"
"49"	"chr15"	59642283	59642682	400	"*"	401	"*"	4.81915679061034	5.52372524662452	3.38609028447815	1.3986449402083	2.05136152262231e-05	0.00755451276627674	"Distal Intergenic"	15	59648350	59657099	8750	1	"211770"	"ENSMUST00000067543.7"	-5668	"ENSMUSG00000032501"	"Trib1"	"tribbles pseudokinase 1"
"50"	"chr1"	93399594	93399993	400	"*"	401	"*"	5.30726365796561	6.01633724184053	3.85420389985932	1.42144300014157	2.0600220239629e-05	0.00755451276627674	"Promoter (1-2kb)"	1	93401861	93403570	1710	1	"404545"	"ENSMUST00000190340.1"	-1868	"ENSMUSG00000034107"	"Ano7"	"anoctamin 7"
"51"	"chr14"	39625536	39625935	400	"*"	401	"*"	6.57681816982747	7.17334000100984	5.54157386525375	1.23792051053297	2.15477749993488e-05	0.00765491450535869	"Distal Intergenic"	14	39655663	39685293	29631	1	"73591"	"ENSMUST00000185680.1"	-29728	"ENSMUSG00000101261"	"1700109I08Rik"	"RIKEN cDNA 1700109I08 gene"
"52"	"chr3"	9520038	9520437	400	"*"	401	"*"	4.39028880775885	1.75121461341329	5.26957799829915	-1.51301261794162	2.17609827499531e-05	0.00765491450535869	"Intron (ENSMUST00000041124.12/170753, intron 2 of 8)"	3	9438292	9565299	127008	2	"170753"	"ENSMUST00000193947.1"	44862	"ENSMUSG00000040209"	"Zfp704"	"zinc finger protein 704"
"53"	"chr1"	74014763	74015162	400	"*"	401	"*"	5.21041072868212	5.92765508951645	3.72020256785868	1.41354861425383	2.24814715729358e-05	0.00765491450535869	"Promoter (1-2kb)"	1	73990374	74016422	26049	2	"21961"	"ENSMUST00000186381.6"	1260	"ENSMUSG00000055322"	"Tns1"	"tensin 1"
"54"	"chr18"	46230744	46231143	400	"*"	401	"*"	5.10226746179121	5.7522245818665	3.88762028689561	1.31076338956153	2.30389087461293e-05	0.00765491450535869	"Distal Intergenic"	18	46241397	46248905	7509	2	"225467"	"ENSMUST00000236368.1"	17762	"ENSMUSG00000024477"	"Pggt1b"	"protein geranylgeranyltransferase type I, beta subunit"
"55"	"chr7"	114656977	114657376	400	"*"	401	"*"	4.45453643937994	5.20434604139377	2.80358056260778	1.46007765950283	2.39971822933431e-05	0.00765491450535869	"Distal Intergenic"	7	114631478	114636357	4880	2	"12310"	"ENSMUST00000032906.10"	-20620	"ENSMUSG00000030669"	"Calca"	"calcitonin/calcitonin-related polypeptide, alpha"
"56"	"chr6"	72570394	72570793	400	"*"	401	"*"	6.95677533249163	7.54212058854463	5.95562645683547	1.22006622886562	2.48704269077997e-05	0.00765491450535869	"Intron (ENSMUST00000114069.7/232089, intron 10 of 12)"	6	72555979	72557847	1869	1	"12332"	"ENSMUST00000127770.1"	14415	"ENSMUSG00000056737"	"Capg"	"capping actin protein, gelsolin like"
"57"	"chr1"	57223358	57223757	400	"*"	401	"*"	5.05708403871476	5.74491489010645	3.69544631757476	1.37803182140345	2.51882707303281e-05	0.00765491450535869	"Distal Intergenic"	1	57200645	57214993	14349	2	"407809"	"ENSMUST00000190488.1"	-8365	"ENSMUSG00000101429"	"BC055402"	"cDNA sequence BC055402"
"58"	"chr2"	69873185	69873584	400	"*"	401	"*"	4.92315639627724	5.70702156020046	3.07767504005179	1.47807886856454	2.5370741785254e-05	0.00765491450535869	"Promoter (<=1kb)"	2	69871218	69874050	2833	2	"75422"	"ENSMUST00000135459.1"	466	"ENSMUSG00000051730"	"Mettl5"	"methyltransferase 5, N6-adenosine"
"59"	"chr3"	66419953	66420352	400	"*"	401	"*"	4.83630958787063	5.48848339450475	3.61356104039966	1.33685088258773	2.5442549586802e-05	0.00765491450535869	"Distal Intergenic"	3	66053558	66296837	243280	2	"72789"	"ENSMUST00000029419.7"	-123116	"ENSMUSG00000027831"	"Veph1"	"ventricular zone expressed PH domain-containing 1"
"60"	"chr11"	75827448	75827847	400	"*"	401	"*"	6.60125874843788	7.19123046488805	5.58612589237075	1.21873590197898	2.58515949919334e-05	0.00765491450535869	"Distal Intergenic"	11	75768966	75796049	27084	2	"13447"	"ENSMUST00000021209.7"	-31399	"ENSMUSG00000020848"	"Doc2b"	"double C2, beta"
"61"	"chr17"	26116177	26116576	400	"*"	401	"*"	4.92771287412526	5.60636521145523	3.60346071232251	1.36298753757254	2.62382918663184e-05	0.00765491450535869	"Promoter (<=1kb)"	17	26116631	26122347	5717	1	"60455"	"ENSMUST00000128597.2"	-55	"ENSMUSG00000024180"	"Pgap6"	"post-glycosylphosphatidylinositol attachment to proteins 6"
"62"	"chr5"	76850199	76850598	400	"*"	401	"*"	4.74420299619162	5.44054696826146	3.34678058272767	1.38697929684433	2.64231342069488e-05	0.00765491450535869	"Intron (ENSMUST00000238963.1/320827, intron 6 of 11)"	5	76858842	76866491	7650	1	"320827"	"ENSMUST00000152373.1"	-8244	"ENSMUSG00000036377"	"Cracd"	"capping protein inhibiting regulator of actin"
"63"	"chr12"	91675237	91675636	400	"*"	401	"*"	6.93715815439861	7.50407112932959	5.98999013436692	1.17951607347904	2.64732979288825e-05	0.00765491450535869	"Intron (ENSMUST00000052969.14/108800, intron 4 of 6)"	12	91703413	91713974	10562	2	"108800"	"ENSMUST00000111609.2"	38338	"ENSMUSG00000020961"	"Ston2"	"stonin 2"
"64"	"chr2"	61110545	61110944	400	"*"	401	"*"	5.57570191840319	6.18825172653129	4.48962617817832	1.25237186564318	2.67187242769937e-05	0.00765491450535869	"Distal Intergenic"	2	60964376	60975151	10776	2	"100038493"	"ENSMUST00000146034.1"	-135394	"ENSMUSG00000075325"	"Gm13582"	"predicted gene 13582"
"65"	"chr19"	23294171	23294570	400	"*"	401	"*"	5.72478487127811	6.36418013645108	4.54796000295843	1.28712574941543	2.75131306499578e-05	0.00776124251688655	"Intron (ENSMUST00000236341.1/ENSMUST00000236341.1, intron 2 of 2)"	19	23208723	23273897	65175	2	"226026"	"ENSMUST00000223934.1"	-20274	"ENSMUSG00000024943"	"Smc5"	"structural maintenance of chromosomes 5"
"66"	"chr4"	63548164	63548563	400	"*"	401	"*"	4.35299540856942	5.06863818494564	2.87016132776808	1.40806253854291	2.84619652693413e-05	0.00776485782025224	"Intron (ENSMUST00000035301.6/66290, intron 1 of 2)"	4	63544772	63550750	5979	1	"66290"	"ENSMUST00000035301.6"	3392	"ENSMUSG00000039105"	"Atp6v1g1"	"ATPase, H+ transporting, lysosomal V1 subunit G1"
"67"	"chr18"	87657364	87657763	400	"*"	401	"*"	5.13521844197982	5.8151537663795	3.80581250790823	1.36051159622299	2.86164913677144e-05	0.00776485782025224	"Distal Intergenic"	18	86713048	86718283	5236	1	"12405"	"ENSMUST00000169470.1"	944316	"ENSMUSG00000024647"	"Cbln2"	"cerebellin 2 precursor protein"
"68"	"chr11"	79028379	79028778	400	"*"	401	"*"	4.52679994880228	5.33401837242296	2.52775507642304	1.4844287808399	2.88996525733675e-05	0.00776485782025224	"Exon (ENSMUST00000018478.10/16706, exon 12 of 19)"	11	79023597	79031057	7461	1	"790910"	"ENSMUST00000143473.1"	4782	NA	"Gm11201"	"predicted gene 11201"
"69"	"chr15"	7408399	7408798	400	"*"	401	"*"	5.15678383366768	5.79585581138703	3.98109686941027	1.29149501634835	2.97940876170215e-05	0.00776485782025224	"Intron (ENSMUST00000161643.1/ENSMUST00000161643.1, intron 1 of 1)"	15	7206583	7398395	191813	2	"268780"	"ENSMUST00000160207.7"	-10004	"ENSMUSG00000042961"	"Egflam"	"EGF-like, fibronectin type III and laminin G domains"
"70"	"chr2"	38511260	38511659	400	"*"	401	"*"	5.17643153591713	5.81827900726836	3.99093770712965	1.27342219104231	3.04729501582364e-05	0.00776485782025224	"Promoter (<=1kb)"	2	38511643	38594606	82964	1	"59126"	"ENSMUST00000054234.9"	0	"ENSMUSG00000026749"	"Nek6"	"NIMA (never in mitosis gene a)-related expressed kinase 6"
"71"	"chr5"	7654520	7654919	400	"*"	401	"*"	3.925700808719	4.69301403395545	2.17861554423135	1.43878350615169	3.0712890150059e-05	0.00776485782025224	"Distal Intergenic"	5	7960457	7982213	21757	1	"117167"	"ENSMUST00000115421.2"	-305538	"ENSMUSG00000012428"	"Steap4"	"STEAP family member 4"
"72"	"chr5"	37783537	37783936	400	"*"	401	"*"	4.40969753086325	5.14805731058857	2.81774382084279	1.4300612429137	3.12094026479149e-05	0.00776485782025224	"Distal Intergenic"	5	37820485	37824583	4099	2	"17701"	"ENSMUST00000063116.9"	40647	"ENSMUSG00000048450"	"Msx1"	"msh homeobox 1"
"73"	"chr14"	67235815	67236214	400	"*"	401	"*"	5.68721112696193	6.28432682586537	4.65012491891498	1.22733048636887	3.12875823730202e-05	0.00776485782025224	"Promoter (1-2kb)"	14	67234644	67428687	194044	1	"13592"	"ENSMUST00000176029.1"	1171	"ENSMUSG00000022053"	"Ebf2"	"early B cell factor 2"
"74"	"chr9"	100432246	100432645	400	"*"	401	"*"	5.59941772785316	6.25683018179517	4.35729027181557	1.32699969363244	3.19157703484214e-05	0.00776485782025224	"Distal Intergenic"	9	100458530	100461735	3206	2	"213208"	"ENSMUST00000125259.1"	29090	"ENSMUSG00000044244"	"Il20rb"	"interleukin 20 receptor beta"
"75"	"chr7"	43624240	43624639	400	"*"	401	"*"	5.31249193202693	5.96185407593877	4.1000093986705	1.3022045911554	3.26749736772642e-05	0.00776485782025224	"Distal Intergenic"	7	43634707	43649295	14589	1	"72431"	"ENSMUST00000032663.9"	-10068	"ENSMUSG00000030472"	"Ceacam18"	"CEA cell adhesion molecule 18"
