seqnames	start	end	width	strand	Conc	Conc_fTBTw1	Conc_mDMSOw1	Fold	p.value	FDR
45	chr19	9945360	9945760	401	*	4.09451549068666	2.18941103182868	5.07807448744959	-1.58663813966526	3.68024609239102e-06	0.00118403423466923
46	chr5	144767279	144767679	401	*	5.91945846093834	4.82485951180624	6.69259253620682	-1.35676957082728	3.73017593771907e-06	0.00118403423466923
47	chr10	44440191	44440591	401	*	4.65756862684261	2.88184039888144	5.616550478246	-1.56293009528081	3.81005128231232e-06	0.00118403423466923
48	chr1	93449401	93449801	401	*	5.4005086605266	4.17057079645228	6.2200833233021	-1.43066096612981	3.92086560665062e-06	0.00119308673022373
49	chr1	183297453	183297853	401	*	4.80611790325234	3.35057279833494	5.69143997237322	-1.4902631363069	4.05576452549791e-06	0.00120894891141679
50	chr14	120054966	120055366	401	*	4.13469511603439	2.0477577626068	5.14868865489137	-1.59022211908224	4.2996775733652e-06	0.00125602181273144
51	chr5	130309187	130309587	401	*	4.97887265950816	3.68283555276984	5.81910807152168	-1.4538913290433	4.65576782676336e-06	0.00133337538975893
52	chr1	91801128	91801528	401	*	4.31447137885935	2.65149111084798	5.24976904841256	-1.53923443782049	4.79692679195517e-06	0.00134738293698648
53	chrX	112600495	112600895	401	*	4.42912468475137	5.1683770881776	1.21268538523035	1.56565635751504	5.23565801649427e-06	0.00143686062356856
54	chr8	80057956	80058356	401	*	4.63415916033764	3.20878641415697	5.51143417926784	-1.46276017288899	5.63309109334085e-06	0.00143686062356856
55	chr7	114656976	114657376	401	*	4.22499949875925	2.34307132707808	5.20434604139377	-1.55272731939536	5.63611423673218e-06	0.00143686062356856
56	chr6	86528193	86528593	401	*	4.17383086169078	2.45002354549927	5.12218381058229	-1.54042470185738	5.6512205734179e-06	0.00143686062356856
57	chr5	136982602	136983002	401	*	6.09762024176705	5.01875171847618	6.86496434381981	-1.32741518459412	5.75394189905016e-06	0.00143686062356856
58	chr7	43624239	43624639	401	*	5.14676273690642	3.93065633117862	5.96185407593877	-1.39378430325019	5.79595540372695e-06	0.00143686062356856
59	chr5	102811629	102812029	401	*	4.00074127513189	1.97783994498564	5.00452306751264	-1.57104634246762	5.89818892413402e-06	0.00143686062356856
60	chr17	67290373	67290773	401	*	5.49078936174356	4.13503349504403	6.34865885954845	-1.45292347935998	5.90248099507831e-06	0.00143686062356856
61	chr5	124175394	124175794	401	*	4.27655908469156	2.56945645939024	5.2213930026927	-1.54374901136839	6.13222656868786e-06	0.00146831641413533
62	chr4	89216925	89217325	401	*	4.41936522857297	2.6155529007033	5.38390755708943	-1.53199392506549	6.37466071493386e-06	0.00150174668390845
63	chr9	37696228	37696628	401	*	3.9026187624674	1.73406511779951	4.92889139511495	-1.56163026898571	6.70741103608453e-06	0.00155505469195318
64	chr8	47172871	47173271	401	*	5.3073431230142	3.86990750797402	6.18786094621754	-1.48675910101102	6.91998420917039e-06	0.00157927014623661
65	chr1	74014762	74015162	401	*	5.04020922698787	3.57656602863394	5.92765508951645	-1.46113001977998	7.20673376236411e-06	0.00161940851281677
66	chr1	80192566	80192966	401	*	4.58032694681536	2.62808751126879	5.57221084033092	-1.53975011509859	7.34657066779429e-06	0.00162581835111823
67	chr7	62230652	62231052	401	*	4.35179677238689	5.10342167615254	0.852245947716515	1.4960910234452	8.32783069535313e-06	0.00181546709158698
68	chr1	186609706	186610106	401	*	4.16151413337271	2.43212479446131	5.11103205209596	-1.52063138676202	8.65234067610021e-06	0.0018584718811047
69	chrX	53716806	53717206	401	*	4.89296944720572	5.60872673161363	2.09249318618745	1.52737695187562	8.98218321772047e-06	0.00190135895765254
70	chr6	120790111	120790511	401	*	3.97521146216666	1.8100023476199	5.00099644035006	-1.53353612909963	9.42724755028296e-06	0.00196706253884904
71	chrX	20950554	20950954	401	*	5.4241966720793	6.04172820803323	3.62668119620765	1.49465279404846	9.96866777847169e-06	0.00202296933095777
72	chr18	76665594	76665994	401	*	4.27164027886776	2.33862260205399	5.26016784837285	-1.51835202140815	9.97218895172939e-06	0.00202296933095777
73	chr19	24280188	24280846	659	*	4.37890667964285	3.0227471280698	5.23689219811445	-1.41299457942363	1.06271212541822e-05	0.00211553936079676
74	chr7	4739735	4740135	401	*	5.9473592666856	6.56293117259471	4.16370278907227	1.45221361943504	1.07181920237546e-05	0.00211553936079676
75	chr5	35396565	35396965	401	*	4.25057856815357	2.34396935067026	5.23440831213852	-1.5090306553396	1.09078384152659e-05	0.00212426517191164
76	chrX	81070423	81071308	886	*	4.74224885986461	5.39884680402184	2.63144944534203	1.47216498586992	1.12937637333776e-05	0.00217048306696991
77	chrX	8192741	8193141	401	*	4.51023420036297	5.19767783900775	2.08435918172367	1.51569936694736	1.15423029843172e-05	0.00218943996609009
78	chrX	7841055	7841455	401	*	4.70075835565378	5.39357724562846	2.21136868001816	1.51212275895418	1.20200047312039e-05	0.0022508229372303
79	chr2	29195911	29196311	401	*	5.22872234345671	3.860553265029	6.09014041641748	-1.40303321476838	1.39678895272814e-05	0.00256215290313299
80	chrX	6399690	6400090	401	*	4.9292022422241	5.61363722808265	2.53759549845914	1.49331703222637	1.41466511088537e-05	0.00256215290313299
81	chr12	40893540	40893940	401	*	5.02536759215269	3.874581437571	5.81849522733876	-1.32573098671493	1.43197074053821e-05	0.00256215290313299
82	chrX	8096397	8097147	751	*	4.32983759638956	5.06411319109438	1.21268538523035	1.47690544754035	1.44925935417954e-05	0.00256215290313299
83	chr1	90537303	90537703	401	*	5.3321308789472	3.84874038547671	6.22469307487697	-1.42835606849068	1.48531567462451e-05	0.00256215290313299
84	chr5	142385038	142385438	401	*	4.3967522732219	2.44019711826408	5.38938254801979	-1.49033862725264	1.48864618287226e-05	0.00256215290313299
85	chr1	57223357	57223757	401	*	4.89343430862837	3.55968631632085	5.74491489010645	-1.38003370317809	1.49105160048134e-05	0.00256215290313299
86	chr5	37783536	37783936	401	*	4.20144992183062	2.48595797558475	5.14805731058857	-1.46039202005694	1.51499863405519e-05	0.00257303140104769
87	chrX	7648442	7649183	742	*	5.29304915460526	5.93055238881084	3.34492993161742	1.47801398580425	1.55542535516389e-05	0.00261132675143951
88	chr13	18268998	18269398	401	*	4.3564073515177	2.77479802764548	5.27315507461129	-1.45202333353635	1.65275918088667e-05	0.00274320461318531
89	chr1	165094751	165095151	401	*	4.11884940231789	2.16794206922219	5.11050238611981	-1.48163878452889	1.69700479029802e-05	0.00278499460304415
90	chr1	93399593	93399993	401	*	5.16771272141025	3.8436644116954	6.01633724184053	-1.38599958992363	1.75051402852452e-05	0.00284088976673657
91	chr11	60140804	60141204	401	*	4.38796231818137	2.9114526247701	5.27875176400273	-1.41776047907467	1.81627275093279e-05	0.00291521756045323
92	chr2	165815477	165815877	401	*	3.85269767126165	1.96231297360857	4.83359052271622	-1.47048314888545	1.91336702643436e-05	0.00303767812914134
93	chr5	121864427	121864827	401	*	5.38243340647931	4.19075147400832	6.18946713710511	-1.32934978199722	1.98893377134237e-05	0.00312369534023942
94	chr14	68054548	68054948	401	*	5.75347965454048	4.52320287332658	6.57316346137045	-1.35893013950275	2.02528889309628e-05	0.00314695420984726
95	chr11	57682433	57682833	401	*	4.01076833434262	1.81401797713542	5.04110119374601	-1.46723903212588	2.05264352561205e-05	0.00315588540369364
96	chr18	65270644	65271208	565	*	5.70168354672915	4.5176847753302	6.50614481286618	-1.32768597901338	2.07557353941069e-05	0.00315789865798255
97	chr2	69873184	69873584	401	*	4.7674408518182	3.08484656662404	5.70702156020046	-1.44492810241636	2.11365512677957e-05	0.00318268523523117
98	chr6	145187542	145187942	401	*	4.01125825880569	1.90166088326595	5.02874154736071	-1.45804302338353	2.22412315947161e-05	0.00331485131298391
99	chr12	21134366	21134766	401	*	4.05984975257625	4.84808299935061	0	1.201378490124	2.32832134247949e-05	0.00343509712406621
100	chr16	14924722	14925122	401	*	4.68977140145718	3.39804983018819	5.5286954037256	-1.33756265656564	2.43917246507124e-05	0.00356265530248305
101	chr14	32722910	32723310	401	*	4.14685920676317	2.44144557458793	5.09133456431471	-1.41878353428317	2.52579320023599e-05	0.00361175075827612
102	chr14	114952268	114952668	401	*	3.05036890441001	3.85772382646761	0	1.1960732921406	2.53182093397005e-05	0.00361175075827612
103	chr12	80553263	80553663	401	*	4.32615898288913	2.83894732716904	5.21970107186386	-1.40058744041084	2.5469692462169e-05	0.00361175075827612
104	chr3	118878620	118879020	401	*	4.72418343528836	3.23232619407698	5.61891244904867	-1.39169847439096	2.57751049456782e-05	0.00361454004457608
105	chrX	37110215	37110615	401	*	4.56779805051392	5.2744006128472	1.90022661427184	1.44372968209276	2.59843012926529e-05	0.00361454004457608
106	chr19	45544376	45544776	401	*	4.57899515079705	3.08385182022309	5.47456085268038	-1.38827808450619	2.65813873093016e-05	0.0036163735112835
107	chr6	28980249	28980649	401	*	4.16198407819523	2.58315700771473	5.07807448744959	-1.40862902101508	2.66881016730394e-05	0.0036163735112835
108	chr6	119388643	119389043	401	*	5.0669572297979	4.01038542134101	5.82594469090959	-1.22013471935965	2.70344596435199e-05	0.0036163735112835
109	chrX	152342420	152342820	401	*	5.32958288967731	5.98483852795726	3.23091264063862	1.43520650760446	2.70617257129129e-05	0.0036163735112835
110	chr5	54978008	54978408	401	*	5.10844679895357	3.85558569901072	5.93532787110651	-1.32716757589683	2.72354570889487e-05	0.0036163735112835
111	chr14	60697534	60697934	401	*	3.8014737380724	1.6676387926641	4.82262045920631	-1.43955557821177	2.81917970150639e-05	0.00370963411893715
112	chr17	47163826	47164226	401	*	4.29705611439645	2.599605116495	5.2398341902709	-1.41991402479779	2.90086937997865e-05	0.00373548480626269
113	chr5	128964611	128965011	401	*	4.14433868075565	2.43181743350467	5.09031950304366	-1.41697322246231	2.91176430840644e-05	0.00373548480626269
114	chr5	71475052	71475452	401	*	4.54753325264392	3.1566842063232	5.41533452244588	-1.36992777832459	2.91555023903839e-05	0.00373548480626269
115	chr7	50027745	50028145	401	*	4.07605045541643	2.25033768203919	5.04483997986946	-1.42799887615613	2.94689548101867e-05	0.00374281351267467
116	chrX	74296842	74297242	401	*	3.89190689990162	4.63908782601613	0.500834499250778	1.37310726637115	3.05351516927696e-05	0.00383847791963202
117	chr9	67315267	67315667	401	*	4.46379079511202	3.04554898376144	5.33913258255573	-1.37622882445337	3.07477691768415e-05	0.00383847791963202
118	chr6	90819057	90819457	401	*	4.30597339311462	2.73846461514927	5.21937360470619	-1.39863389343284	3.23476077724959e-05	0.00400397592478877
119	chr1	162651944	162652344	401	*	5.0290630793622	3.78075548245767	5.85450494954618	-1.3279691428225	3.27523826560683e-05	0.00402001093339944
120	chrX	73458941	73459341	401	*	4.70480163993267	5.40793478348432	2.08435918172367	1.40716870317201	3.32036816583562e-05	0.00404144145251625
121	chrX	164419454	164419854	401	*	5.16974648637112	5.80080771322381	3.27217597125726	1.37994534388476	3.39605789342838e-05	0.00404618479982231
122	chr14	9695354	9695754	401	*	4.46804919907778	5.16288404475124	1.95403519030053	1.4159201467578	3.40608073932103e-05	0.00404618479982231
123	chr2	26619758	26620158	401	*	4.66912975233325	3.17700512719455	5.56392693549477	-1.37470242695013	3.42957195400032e-05	0.00404618479982231
124	chrX	145514853	145515253	401	*	4.31612335559438	3.07765884881947	5.13843364914155	-1.32236497972213	3.4350740461315e-05	0.00404618479982231
125	chr12	73830658	73831058	401	*	5.02688556372586	3.62564699056242	5.8975683187136	-1.35764944089654	3.51130333301603e-05	0.00409799704569197
126	chrX	99042337	99042737	401	*	4.23599614140473	4.91988147296223	1.85055532029762	1.41574572340684	3.53755657897933e-05	0.00409799704569197
127	chr7	141041156	141041556	401	*	3.94362986876824	2.41527251289541	4.84751976062918	-1.40299190037419	3.56323171849158e-05	0.00409799704569197
128	chr8	22013089	22013489	401	*	4.28432904168102	4.97245521334344	1.85055532029762	1.40961548206883	3.67273455720051e-05	0.00417337683646227
129	chr14	65804421	65804821	401	*	4.10916739982593	2.31158355953261	5.07248768871448	-1.4095615000358	3.68592093594161e-05	0.00417337683646227
130	chr10	119979685	119980085	401	*	4.36629149136385	2.86493411879747	5.26343286458882	-1.36804629238707	3.79843986437057e-05	0.00420537122630601
131	chrX	94542036	94542436	401	*	4.68597250776998	5.36405401277971	2.36394201000541	1.41116625567325	3.80402087004292e-05	0.00420537122630601
132	chr11	117146816	117147216	401	*	4.90583164053671	3.55819696427976	5.76135817045522	-1.33386296081021	3.8440258200753e-05	0.00420537122630601
133	chr12	84114031	84114780	750	*	4.68705739901278	3.67313508861712	5.42955451498826	-1.25884153550008	3.84743324146488e-05	0.00420537122630601
134	chr17	56325579	56325979	401	*	5.20046293011433	5.85976296762918	3.06489855528324	1.40288124706946	3.85813873973028e-05	0.00420537122630601
135	chr9	100432245	100432645	401	*	5.47315556192761	4.34930493161234	6.25683018179517	-1.2572331152547	3.93870870203963e-05	0.00426139105940673
136	chr12	108223497	108223897	401	*	4.85896178343042	3.54136128737022	5.7056739415183	-1.33336052787504	4.07739331777026e-05	0.00433183854106679
137	chrX	71214729	71215497	769	*	4.78850289045181	5.43807260576087	2.73998914946024	1.40040986955739	4.08909853683421e-05	0.00433183854106679
138	chrX	152016145	152016545	401	*	3.94311787690208	4.71372409007287	0	1.26119135787851	4.09279555434217e-05	0.00433183854106679
139	chr10	60984212	60984612	401	*	4.28507403486054	2.68940900540173	5.20511862002985	-1.37367699331741	4.19003841744598e-05	0.0044028561960587
140	chrX	113297929	113298329	401	*	4.59199012989269	5.22410777062696	2.68626595616486	1.38596091772431	4.22461808290602e-05	0.00440748369420896
141	chrX	164076007	164076767	761	*	4.89999996219724	5.48935084643136	3.28842309002464	1.36803064075424	4.32149055161213e-05	0.0044765738295636
142	chr13	21512580	21512980	401	*	4.99895786475496	3.83723649493	5.79585581138703	-1.2776277578853	4.39423692904957e-05	0.00450676955536695
143	chr7	19715592	19715992	401	*	6.3921064747725	6.97316749320551	4.83033386407931	1.33457774587801	4.41235140639103e-05	0.00450676955536695
144	chrX	151046950	151047350	401	*	4.10475171706793	4.76663325809676	1.94507931582456	1.39222418830896	4.7582030175339e-05	0.00480540477544434
145	chrX	94177793	94178193	401	*	4.19453667476524	4.93529131466501	0.946662784521027	1.33455807394277	4.77053055209797e-05	0.00480540477544434
146	chr19	25242041	25242441	401	*	4.69148288864488	3.36835396347265	5.5398354049	-1.32753341311954	4.8916552497798e-05	0.0048400539151289
147	chrX	20792322	20792722	401	*	3.81063004104078	4.5831739860063	0	1.24833663720402	4.91367657990061e-05	0.0048400539151289
148	chrX	160136015	160136415	401	*	3.82549236708396	4.61032643079042	0	1.14718693898973	4.91923517975822e-05	0.0048400539151289
149	chrX	85573684	85574084	401	*	4.98035590232764	5.57954474749999	3.30695709341995	1.35073745027133	4.93747797722995e-05	0.0048400539151289
150	chr4	58678550	58678950	401	*	5.0226950310522	3.87352518898793	5.81526211491277	-1.26240969355915	5.06963210280407e-05	0.00489597283819028
151	chr9	6289326	6289726	401	*	3.83576435856981	4.60891670423581	0	1.24698486382894	5.08468656190713e-05	0.00489597283819028
152	chr19	5792719	5793119	401	*	4.33758172043125	2.94530694286609	5.2057799811573	-1.3255860130056	5.0950833315413e-05	0.00489597283819028
153	chr3	89613968	89614368	401	*	5.44899703141586	4.45514473833378	6.18349618884856	-1.18475126267484	5.25549618138548e-05	0.0050171096225697
154	chr14	101548861	101549261	401	*	5.57082103022474	4.55935281935745	6.31234850436495	-1.21038348401642	5.41250515210141e-05	0.00513344482153203
155	chr8	4166006	4166406	401	*	6.53698342498613	7.09940040745898	5.08036096151261	1.30136124536328	5.55079126921578e-05	0.00523063595343004
156	chrX	98937725	98938125	401	*	4.56396807948265	5.21108035293341	2.53654440606978	1.36757659673209	5.88510719691811e-05	0.00551012023834525
157	chr8	3231298	3231698	401	*	4.08021871415754	2.37854696252778	5.02389788348802	-1.36457771742026	6.26451148412062e-05	0.00582799074758381
158	chr19	37204112	37204512	401	*	4.50099474369137	3.37428685350339	5.28568346996041	-1.24800958129492	6.5034294473809e-05	0.00597705537736827
159	chr14	102243829	102244229	401	*	4.76434992095228	3.59289534187551	5.56457160796456	-1.2665381450849	6.50658499932599e-05	0.00597705537736827
160	chr10	3740390	3740790	401	*	5.83551361404839	4.8792445810736	6.55460878426874	-1.17823157358246	6.85537286383545e-05	0.00625809850307378
161	chrX	136741268	136741668	401	*	5.08134244022888	5.68742001155941	3.36275641587025	1.33183398065772	7.08756367841723e-05	0.00642987298676783
162	chr7	4812267	4813037	771	*	5.03537346240363	5.69225218212447	2.92202255769787	1.35570571350928	7.13937716718815e-05	0.00643689771012038
163	chr7	3665377	3665777	401	*	5.1032043385057	5.7275648232225	3.25617187932875	1.34248917435311	7.215835012177e-05	0.00646591939802806
164	chrX	18162233	18162633	401	*	5.252398237286	5.84211338807503	3.63858627772814	1.3227095989171	7.35835397122891e-05	0.0065534218355957
165	chr12	17881635	17882035	401	*	5.01001610371031	5.60800418182032	3.3443293926374	1.34316476757134	7.4744883096695e-05	0.00661650765157774
166	chr11	79028378	79028778	401	*	4.3659536833707	2.54400667878555	5.33401837242296	-1.34380961036736	7.79234569092817e-05	0.00685632537118656
167	chrX	36645214	36645614	401	*	4.40087683930432	5.02444296419138	2.55970464847697	1.34420801455486	8.12730480340547e-05	0.00710822838075092
168	chrX	75514049	75514842	794	*	4.27154663703825	4.91285784387765	2.29258203039345	1.33957890100959	8.24038317139994e-05	0.00714013409559093
169	chr2	93580268	93580668	401	*	4.32236967942896	2.83457368505066	5.21606132811086	-1.32023320183694	8.26155458136976e-05	0.00714013409559093
170	chr1	89337663	89338063	401	*	5.12039056158186	3.76092291808744	5.9793252664984	-1.30148258051103	8.84986057188492e-05	0.00753068080229425
171	chr4	62965419	62965819	401	*	4.65249007992867	3.23301640187768	5.52816670109534	-1.29945803706303	8.86108821726364e-05	0.00753068080229425
172	chr5	92809094	92809494	401	*	4.63813411316761	5.27951049939095	2.65863503956883	1.33180969295544	8.86811651372457e-05	0.00753068080229425
173	chr3	75956815	75957215	401	*	5.36880162263323	5.90310184676141	4.05531490799466	1.20975990927058	9.10762059169878e-05	0.00768935874926892
174	chr4	109988221	109988621	401	*	4.44812744349259	3.25603741093165	5.25529730295922	-1.24876730756395	9.92341261461553e-05	0.00832996348557899
175	chrX	129749498	129749898	401	*	4.12206216306426	4.73431030994694	2.36156984662282	1.32505278562756	9.98473039951058e-05	0.00833354126944294
176	chr19	32240748	32241148	401	*	4.08855836337771	2.45618471615355	5.01702892766381	-1.3156348778415	0.000102560999595423	0.00851139750051562
177	chr6	117483134	117483534	401	*	4.53908665698117	3.16348969933031	5.40260946095292	-1.28140424620621	0.000105773955078463	0.00870494431586468
178	chr7	66246435	66246835	401	*	3.83451133217764	1.87770731511505	4.82718456658318	-1.31287950343055	0.000106085176518137	0.00870494431586468
179	chr2	3423900	3424300	401	*	3.92589106869414	4.62936707110013	1.30086411537148	1.31585661386154	0.000106988607079042	0.00873003125696362
180	chr4	117729320	117729720	401	*	4.04144083325665	2.45794718840718	4.95863284247207	-1.29473987970206	0.000108428320724149	0.00879379668661736
181	chr1	86310875	86311275	401	*	4.13365856696942	4.89044285842231	0.496516738478399	1.01728757602216	0.000109164510344553	0.00879379668661736
182	chr2	18158028	18158428	401	*	4.26309858002376	2.74419166617413	5.16464431068279	-1.30466984615814	0.000109576269818182	0.00879379668661736
183	chr5	123335283	123335683	401	*	4.74998223896653	3.58245286246947	5.54886714813205	-1.21980927555786	0.000112286998610909	0.00896209782355707
184	chr10	66829161	66829561	401	*	5.16421518552898	4.09045788744967	5.92965928642308	-1.19235064477386	0.000114758726814619	0.00910959762964304
185	chrX	155216264	155216664	401	*	4.3211078254897	4.99907249883273	2.00032304049187	1.31183794241045	0.00011538959933507	0.00911016479939479
186	chr16	21282044	21282444	401	*	5.55799856536463	4.56373231718664	6.29266426295375	-1.16775177292832	0.000118113089405403	0.00927505260137265
187	chrX	74254449	74254849	401	*	4.24298615869001	4.94544991497004	1.63144944534203	1.29878148593862	0.000119603576717088	0.00934187081031971
188	chr7	37501747	37502147	401	*	4.708600025646	3.46402375111503	5.53285808958911	-1.24434763921523	0.000121489002864182	0.00943866157358636
189	chr9	20651741	20652141	401	*	6.20122466902656	6.76125962515774	4.75740749609857	1.22890379646932	0.000122475039658694	0.00945399817748
190	chr6	17806637	17807037	401	*	3.58976214907448	4.33570164857615	0.227534218861298	1.24042459362935	0.000123162918333821	0.00945399817748
191	chr1	36013838	36014238	401	*	2.81739620000046	3.62475112205807	0	1.05371081217526	0.000123628211139167	0.00945399817748
192	chr7	25076915	25077315	401	*	5.3622862006237	6.00348194618126	3.38426782442928	1.29738988419915	0.000124794119175737	0.00948877240089762
193	chr19	6109257	6109657	401	*	5.63305605572372	4.6068016730437	6.3803910690207	-1.16780097748789	0.00012538224519877	0.00948877240089762
194	chr5	141074583	141074983	401	*	5.40936128579198	4.44761141062788	6.13073828436905	-1.1315372994997	0.000127180946290026	0.00952762119151362
195	chr5	44402116	44402516	401	*	4.64376442956852	3.50770953598517	5.43175168815989	-1.2007915434524	0.000127538082509067	0.00952762119151362
196	chr13	93619188	93619588	401	*	5.60389255613622	4.57689639544394	6.35151673988606	-1.16726483937018	0.000127852509484915	0.00952762119151362
197	chrX	162829387	162829787	401	*	4.91243423254818	5.52803553398593	3.12857098124966	1.29859820356688	0.000130696515022575	0.00969011826608997
198	chr1	13074587	13074987	401	*	4.29044369114174	4.96564381555497	1.99879741677798	1.28920513665084	0.000133642037531686	0.00982942537088215
